2457179.918605	2.24	1.81	HIRES
2457197.794461	-3.58	1.66	HIRES
2457199.862032	-4.57	1.79	HIRES
2457206.923418	-4.96	2.01	HIRES
2457208.895178	-2.80	1.68	HIRES
2457211.844938	-2.49	1.71	HIRES
2457213.943981	1.86	1.84	HIRES
2457228.868515	-3.80	1.71	HIRES
2457245.822754	-4.84	1.64	HIRES
2457255.794464	-6.88	1.79	HIRES
2457265.780260	-5.92	1.78	HIRES
2457290.774116	-4.75	2.07	HIRES
2457298.738091	-15.48	1.72	HIRES
2457520.957134	2.08	1.63	HIRES
2457555.932942	5.91	2.00	HIRES
2457562.002861	0.81	1.90	HIRES
2457562.889918	1.92	1.85	HIRES
2457577.783201	-6.38	1.72	HIRES
2457579.858678	3.02	1.84	HIRES
2457580.979251	6.30	1.77	HIRES
2457581.967955	2.65	1.88	HIRES
2457582.847926	1.58	1.64	HIRES
2457591.964435	3.75	1.95	HIRES
2457595.857889	-0.40	1.89	HIRES
2457598.907561	10.05	1.76	HIRES
2457599.897252	0.80	1.75	HIRES
2457615.802408	-6.52	1.71	HIRES
2457616.798520	-1.33	1.68	HIRES
2457617.794666	12.13	1.71	HIRES
2457618.776553	0.63	1.64	HIRES
2457620.799396	1.58	1.72	HIRES
2457185.606900	10.69	2.65	HARPS
2457185.677180	10.92	2.34	HARPS
2457185.819740	9.38	2.73	HARPS
2457185.849750	3.16	4.14	HARPS
2457186.599740	1.56	3.49	HARPS
2457186.669810	8.09	2.97	HARPS
2457186.790150	0.48	2.84	HARPS
2457186.823630	6.96	3.18	HARPS
2457187.674590	5.04	1.66	HARPS
2457187.743820	2.94	2.41	HARPS
2457187.781380	0.31	2.22	HARPS
2457187.815060	8.21	3.13	HARPS
2457188.638490	6.46	2.19	HARPS
2457188.694030	5.69	1.73	HARPS
2457188.759580	-8.45	3.83	HARPS
2457188.799060	-1.28	2.62	HARPS
2457188.831410	10.79	3.66	HARPS
2457189.641080	-1.58	2.19	HARPS
2457189.698560	-1.46	1.71	HARPS
2457189.756430	-3.27	1.53	HARPS
2457189.788900	-8.02	1.53	HARPS
2457189.822940	-8.48	1.78	HARPS
2457190.649150	-6.05	1.67	HARPS
2457190.684000	-2.64	1.73	HARPS
2457190.717160	-7.75	2.04	HARPS
2457190.749880	-3.93	2.18	HARPS
2457190.784200	-8.97	2.22	HARPS
2457191.668780	-10.48	3.27	HARPS
2457191.706420	-13.28	2.14	HARPS
2457191.760950	-4.02	2.42	HARPS
2457191.794930	-4.92	3.20	HARPS
2457191.824910	-0.74	3.98	HARPS
2457192.659640	-2.13	3.69	HARPS
2457198.721430	-2.16	4.51	HARPS
2457198.809820	-11.76	2.74	HARPS
2457199.601360	-9.32	1.89	HARPS
2457199.683460	-13.58	1.59	HARPS
2457211.700080	11.06	2.31	HARPS
2457253.485430	-0.60	2.50	HARPS
2457264.518160	6.03	2.99	HARPS
2457267.563880	15.81	2.15	HARPS
2457270.501470	-0.73	1.92	HARPS
2457278.568590	12.00	3.48	HARPS
2457198.674600	-13.95	2.31	PFS
2457199.745540	-24.28	2.56	PFS
2457200.687220	-12.24	2.16	PFS
2457204.724130	0.00	2.40	PFS
2457205.640810	2.07	2.09	PFS
2457206.669050	2.37	2.67	PFS
